speaker,start,end,text
SPEAKER_00,0.902,2.523, Hello. Hello.
SPEAKER_03,3.463,3.683,Yes.
SPEAKER_00,4.424,15.249,"Yeah. Hi, sir. This is Darshini calling from GoFinance, sir. We are the channel partner of Commercial Bank of Dubai, sir. Sir, you already did for a CBD credit card process, right, sir?"
SPEAKER_01,16.389,16.609,Yes.
SPEAKER_00,17.91,24.633,"Yeah. Yes, sir. Now some of the policies are changed, sir. If you apply now, you will be get 100% sure, sir. Can we process now, sir?"
SPEAKER_03,25.802,30.887," But I applied two, three days ago. Again, it says that I don't meet the criteria."
SPEAKER_00,32.828,37.252,"OK. Your last three months salary is crediting to you properly, sir?"
SPEAKER_02,39.975,40.996,"In ADCB, yes."
SPEAKER_00,42.297,48.082,"Yeah, yes. OK. How many credit cards are you already having, sir? Credit card and loan?"
SPEAKER_02,50.996,54.081, Can we speak later because I'm in a meeting now. I cannot speak now.
SPEAKER_00,54.121,56.345,"Yeah, okay, sir. I will just WhatsApp you, sir. No problem."
SPEAKER_02,56.365,57.667,I'll just WhatsApp you.
SPEAKER_00,57.988,58.669,"Okay, sir. Thank you."
